VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Kadapra,689621,20827,9575,11252,7450,3025,4178,1099.33,14,291.2,277.01,42,32,2,68,0,0,65,3038,98,15085216.0,2190,1
Thimiri,670581,9009,4400,4609,2284,1284,800,1411.0,35,97.0,1100.0,0,0,70,5,10,0,90,3350,91,12369732.0,55,3
Alakode,670571,33173,16289,16884,8007,4520,2787,3111.0,55,150.0,2800.0,0,50,140,10,20,0,150,4535,98,20457780.0,112,1
Vellad,670571,7367,3542,3825,1500,900,450,900.0,12,48.0,700.0,0,0,50,4,5,0,121,2242,7,76619240.0,20,3
Kumaramangalam (Part),685608,14865,7439,7426,3506,1234,1814,1678.0,52,338.0,1340.0,4,11,33,61,211,10,70,2842,490,13800000.0,2557,3
Manakkad (Part),685608,15106,7509,7597,3764,1337,1862,1845.0,20,288.0,1557.0,5,11,125,46,19,6,54,4717,38,22844998.0,1783,3
Brahmakulam (CT),680511,14390,6747,7643,3472,656,2816,577.82,3,410.44,167.38,3,7,15,1,22,0,0,2696,2400,133000.0,1894,3
Elavally (CT),680511,12819,5969,6850,3041,1944,1097,866.952,7,615.8,251.1,5,12,26,5,32,0,0,4044,2500,1183000.0,1306,3
Pazhavangadi,628315,1990,937,1053,544,30,120,248.3,0,11.0,229.4,19,2,16,20,7,0,21,244,99,79530.0,262,3
Kakkulissery,680734,10448,5032,5416,2646,208,1929,491.0,1,199.0,233.0,9,9,9,17,85,0,9,1308,30,14000000.0,1610,3
Thirumukkulam,680734,9468,4540,4928,2414,150,1828,601.0,1,295.0,306.0,11,13,9,39,76,0,6,2012,30,10000000.0,1712,3
Kuttichira,680724,17128,8435,8693,4405,899,3190,1406.9,11,459.62,905.76,17,7,31,55,122,0,23,3507,0,3524714.0,2264,1
Kodassery,680721,12175,5787,6388,3063,706,2005,1983.96,9,687.23,1083.41,7,1,21,32,81,0,16,2817,0,2450761.0,1581,3
Elanjipra,680721,4895,2420,2475,1254,63,1172,159.4,0,72.69,61.92,0,0,0,6,25,0,9,396,0,1002775.0,657,3
Upputhara,685505,26236,13053,13183,6842,4857,1985,6931.0,86,957.0,5543.0,4,3,451,210,240,0,32,8646,50,51275000.0,578,0
Kannavam,670643,9211,4345,4866,2084,725,958,1526.0,21,105.0,1404.0,0,6,0,32,18,10,9,2611,60,21883500.0,12,3
Manantheri (CT),670643,14667,6936,7731,3219,385,2534,1395.0,18,95.0,1300.0,0,6,0,36,19,31,9,2487,45,21883500.0,62,3
Kottayam,670691,19176,8813,10363,3815,240,3350,622.0,0,94.0,516.0,0,3,1,204,1,41,1,3090,210,17003444.0,900,3
Chockli (CT),670672,28415,12745,15670,6031,285,4856,864.0,15,26.0,828.0,1,3,117,19,0,8,0,3250,140,12894722.0,460,1
Pappinisseri (CT),670011,35134,15988,19146,7225,35,6520,836.0,0,25.0,699.0,11,1,0,26,50,4,0,3200,0,18652658.0,6200,1
Kadirur (CT),670612,31087,13926,17161,6817,350,5785,907.0,0,83.0,799.0,1,0,0,1,30,0,27,6748,0,15749000.0,528,1
Chittur (Part),678553,5244,2540,2704,1269,718,519,655.0,110,460.0,145.0,3,0,1,11,0,0,0,595,302,15095.0,274,3
Thekkedesom,678553,13108,6430,6678,3131,1390,1210,1390.0,100,994.0,359.0,6,1,3,12,1,0,0,1488,754,37737.0,562,3
Nalleppilly,678553,14361,6966,7395,3531,1510,1427,990.0,110,827.0,108.0,13,1,6,28,1,0,0,1637,829,41510.0,614,3
Kunnathunad (CT),683565,22881,11360,11521,5377,1250,2400,1400.0,12,320.0,580.0,14,2,5,4,0,5,28,2985,0,3700000.0,1420,1
Manathana,670674,15935,7554,8381,3777,2420,1051,1525.0,5,90.12,1434.88,0,1,2,34,0,90,42,2420,46,19565000.0,66,3
Vellarvelly,670673,7769,3834,3935,1851,1290,556,1400.0,2,41.0,1359.0,0,5,5,32,0,60,10,1290,29,19565000.0,22,3
Cheruthazham (CT),670501,32895,16007,16888,8408,1008,7400,2596.0,56,245.0,1865.0,35,4,10,13,50,0,65,4071,255,44176956.0,2580,1
Puthoor,670693,19575,9051,10524,4224,706,3195,1262.0,3,96.0,1140.0,3,6,4,13,0,0,0,3560,0,17400000.0,265,3
Kolavelloor (CT),670693,19817,9110,10707,4372,456,3640,1120.0,3,79.0,1040.0,3,5,5,13,1,0,0,3420,0,16000000.0,280,3
Udayagiri,670571,18804,9307,9497,4597,3297,1300,5382.0,150,115.0,5267.0,3,28,9,54,9,0,20,6870,50,73214000.0,1230,0
Palakkayam,678597,6013,2909,3104,1404,186,421,708.13,24,98.2,599.8,7,2,7,40,50,2,12,2415,0,5846148.0,826,3
Karimba -I,678597,13993,6769,7224,3122,315,843,1410.0,28,185.2,1209.8,9,4,10,80,84,18,36,2685,1,8045000.0,1580,3
Karimba -II,678596,7474,3594,3880,1656,202,480,750.0,30,105.2,626.8,6,4,12,90,95,5,20,2241,0,8825000.0,1236,3
Thachanattukara-I,678583,18864,9255,9609,3545,485,1120,1894.0,40,150.0,1744.0,0,3,1,20,80,40,40,2010,100,8020504.0,2100,3
Thachanattukara-II,678583,7805,3837,3968,1595,236,680,1235.0,30,99.0,1136.0,0,3,0,6,21,24,19,1350,40,5820505.0,910,3
Pullampara,695607,21817,10111,11706,5570,25,90,2423.43,23,115.0,2308.43,4,20,345,345,175,14,0,7500,100,126621.0,5570,1
Mattathur,680684,30718,14615,16103,7831,3821,1688,1581.6,60,586.12,976.82,13,12,12,59,85,0,3,9807,73,45270000.0,3180,1
Vellikulangara,680699,16854,8275,8579,4226,2548,1126,1055.22,40,390.75,651.21,7,8,8,39,57,0,2,6538,49,30180000.0,2120,1
Vadavukode,682308,2377,1155,1222,624,35,589,168.0,5,64.0,104.0,0,1,8,2,7,8,26,324,0,1600000.0,266,3
Padne,671312,13168,6044,7124,2320,604,834,830.0,2,405.0,266.0,13,0,12,22,0,0,82,1592,80,72700000.0,180,3
Puthenvelikkara (CT),683594,28054,13618,14436,7032,1055,3305,1066.0,2,823.0,243.0,106,18,55,109,83,75,170,2550,18,25200000.0,5255,1
Eramam,670307,9448,4478,4970,2425,1030,1212,1756.0,12,184.0,1495.0,0,1,0,18,18,2,0,2581,95,34075124.0,510,3
Kuttoor,670306,8143,3821,4322,2022,546,1355,2008.0,14,112.0,1708.0,0,4,0,11,0,4,0,2277,85,33561424.0,585,3
Vellora,670306,10239,4859,5380,2564,1225,1205,2681.0,12,212.0,2427.0,0,10,6,37,0,11,0,2732,70,28153980.0,118,3
Pattimattom,683562,10627,5335,5292,2566,960,1150,800.0,7,150.0,320.0,10,1,3,2,0,3,14,1100,0,2092040.0,988,3
Ananganadi,679501,24445,11386,13059,5086,2545,1317,1603.73,25,418.73,947.96,0,265,0,52,0,5,0,2545,0,70854000.0,1669,1
Udinoor,671310,8966,4178,4788,2015,740,713,904.0,3,507.0,247.0,6,0,4,33,0,0,0,1522,113,84700000.0,148,3
Mankulam,685565,9595,4863,4732,2513,1762,751,2601.0,20,165.0,1668.0,46,0,0,315,0,38,12,2116,261,1930000.0,1695,0
Pattanakkad,688531,34620,16998,17622,8481,1050,5724,1335.73,1,410.8,466.31,39,20,26,314,16,0,18,6540,60,77501000.0,5328,1
Payyanadam,678583,16260,7708,8552,3315,566,1215,1648.0,12,154.0,1494.0,0,0,4,60,84,35,0,1720,2,9570000.0,1089,3
Kumaramputhur,678583,16600,8003,8597,3430,582,1310,1686.0,8,132.0,1554.0,0,0,4,67,92,34,0,2040,0,9742000.0,1095,3
Vayalar (CT),688536,24804,12014,12790,6168,1200,4264,1108.25,12,398.0,489.0,26,20,86,238,50,0,20,3852,52,73000000.0,3986,1
Cheruvathur (OG),671313,27435,12668,14767,6029,3542,1518,1575.0,10,575.0,745.0,10,0,0,67,0,0,71,3315,50,56007080.0,364,1
Cherukavu (CT),673637,30521,14975,15546,6211,688,4494,1105.36,3,105.8,941.7,23,0,0,4,0,1,68,3330,3,20127500.0,902,1
Alanallur-I,678601,18332,8843,9489,3670,2386,1284,1440.0,67,146.0,785.0,13,2,89,9,9,38,18,1560,380,2144748.0,125,3
Alanallur-II,678601,12910,6314,6596,2577,1386,1191,1440.0,9,116.0,137.0,14,7,7,90,90,43,29,1548,365,2144748.0,58,3
Alanallur-III,678601,21312,10231,11081,4321,2809,1512,1440.0,15,106.0,548.0,18,0,0,128,75,43,21,1548,365,2144748.0,125,3
Vadakkumbhagom,680731,7075,3291,3784,1814,54,617,487.29,25,117.66,249.17,3,3,1,6,23,2,1,913,525,5225000.0,1629,3
Annallur,680731,7070,3425,3645,1809,72,651,459.43,18,110.94,234.92,1,4,5,6,22,2,0,1048,525,5225000.0,1521,3
Kuruvilassery,680732,8653,4058,4595,2230,133,847,495.44,14,119.63,253.34,3,3,4,9,22,1,2,1145,350,5225000.0,1411,3
Vadama (CT),680732,11573,5433,6140,2898,58,927,823.02,18,198.73,420.84,1,3,4,5,23,1,0,1453,525,5225000.0,1792,3
Pullu,680641,1196,556,640,292,60,110,313.8,0,69.0,244.8,4,1,11,2,4,3,2,675,3,678000.0,238,3
Alappad,680641,4448,2036,2412,1112,170,330,460.2,0,101.13,359.07,17,4,42,7,14,1,6,1035,10,2542000.0,370,3
Chazhoor,680571,5827,2641,3186,1473,220,470,376.5,1,82.74,293.76,21,5,56,9,19,1,8,810,6,3389000.0,291,3
Inchamudi,680564,3341,1504,1837,811,160,250,292.85,0,64.4,228.45,4,3,35,3,12,1,5,630,11,2033000.0,234,3
Kurumpilavu (CT),680564,14329,6692,7637,3515,700,1090,648.5,0,142.5,506.0,52,13,139,16,47,1,20,3150,20,8303000.0,481,3
Mangattidam (CT),670701,18627,8805,9822,4169,500,3627,1606.0,20,105.0,1480.0,0,21,1,3,1,11,2,4340,50,100755016.0,1065,1
Kandamkunnu (CT),670701,16025,7552,8473,3337,440,2835,1209.0,15,54.0,1141.0,0,8,1,2,1,8,5,4042,42,98130700.0,897,3
Puramattam,689543,14069,6660,7409,4280,1387,2546,1136.17,4,123.89,1012.28,2,3,4,13,10,44,419,2645,32,15368000.0,2354,3
Karakurissi,678582,25481,12205,13276,5249,3700,1218,2452.82,45,475.06,1977.76,2,34,0,157,0,29,33,3700,118,23630000.0,2636,0
Vathikudy,685604,26083,13077,13006,6492,4887,1219,4296.0,74,892.0,3404.0,24,1,0,112,214,0,26,5063,0,359197536.0,2412,0
Upputhode,685604,1587,775,812,406,269,99,3146.0,21,207.0,2936.0,3,1,0,19,29,0,0,574,0,7013796.0,262,3
Pallippuram,680563,2450,1178,1272,1165,626,539,340.41,2,209.31,131.1,8,1,2,6,18,0,5,626,27,2107012.0,438,3
Venginissery (CT),680563,5533,2656,2877,1949,1006,943,306.97,3,155.42,95.26,0,3,6,8,15,0,4,1006,11,2387946.0,398,3
Kodannur (CT),680563,7655,3707,3948,2138,924,1214,402.48,5,250.66,151.82,2,4,11,12,29,0,2,924,41,6007352.0,476,3
Paralam (CT),680563,9187,4498,4689,2734,1172,1562,380.0,12,229.34,150.66,3,0,0,18,44,0,5,1172,44,5618697.0,448,3
Idukki,685602,19723,9808,9915,4970,2740,2000,480.0,34,58.0,422.0,650,17,11,100,225,398,468,7620,0,70087176.0,2242,1
Ezhamkulam,691554,22293,10453,11840,6182,2608,2415,1573.0,4,69.0,1433.13,7,83,32,96,28,0,39,4536,76,5830000.0,1358,1
Enathu,691526,10349,4940,5409,2816,1172,1085,1050.0,4,52.0,950.92,3,37,14,43,20,0,20,2039,34,5170000.0,611,3
Pallikkara II,671318,16618,7756,8862,3106,688,715,489.0,14,187.45,280.67,0,0,9,0,3,2,0,727,36,9431000.0,603,3
Bare (CT),671319,12804,5970,6834,2744,884,498,923.0,18,316.0,511.0,0,0,10,0,4,3,0,1231,58,13823000.0,594,3
Vellamunda,670731,18069,8888,9181,3946,908,2130,2998.0,25,306.0,2543.0,33,70,52,82,65,0,10,6866,304,27098104.0,92,0
Eroor,691302,20640,9600,11040,5486,871,4615,1852.19,9,129.5,1483.07,41,31,0,120,16,0,140,2650,0,94000000.0,85,1
Ayiranalloor,691307,13289,6244,7045,3500,650,2850,1642.5,6,106.12,1302.27,54,23,0,86,10,0,335,1802,0,63000000.0,81,3
Karamuck (CT),680613,15129,7055,8074,3791,380,1213,585.97,18,441.15,144.82,101,8,101,28,11,151,0,2700,13,10071240.0,1895,3
Manalur (CT),680617,17757,8442,9315,4316,432,1597,890.41,22,670.33,220.07,116,12,116,32,14,178,0,2300,15,11822760.0,1943,3
Porunnanore,670731,22558,11122,11436,4850,1827,2328,2430.0,26,477.0,1837.0,40,86,44,92,65,0,0,8572,406,21373500.0,149,0
Alur,680683,23075,11072,12003,5837,292,2276,1411.26,5,451.08,681.12,6,16,10,31,4,0,24,2895,42,9416844.0,3012,1
Thazhekkad,680697,13241,6220,7021,3369,202,1145,668.556,0,213.664,322.62,7,18,7,10,2,0,16,1482,21,3923685.0,1251,3
Kallettumkara (CT),680683,7097,3402,3695,1785,41,642,671.86,0,214.72,324.217,2,0,12,10,2,0,15,801,18,2354211.0,892,3
Thrippangottur,627271,29911,13644,16267,6536,683,4444,2641.0,1,98.0,2486.0,0,16,22,38,29,1,565,2927,10,138939760.0,170,1
Cheemeni,671313,8283,3908,4375,2029,812,1015,2891.0,3,787.0,2051.0,6,0,6,36,15,0,30,1210,85,11750000.0,900,3
Chinnakanal,685618,12005,6098,5907,3210,471,2403,6370.0,76,3736.0,2633.0,43,15,112,203,91,0,13,2126,74,29418000.0,1262,0
Kadambur - CT,670621,18979,8698,10281,4127,2360,1767,778.0,46,43.0,691.0,0,5,64,110,0,0,0,3000,40,7565507.0,2250,1
Puthenchira,680682,21416,9815,11601,5531,950,4300,1937.58,12,585.0,1352.58,15,2,20,42,5,0,6,3800,53,16326000.0,4450,1
Udma (CT),671319,8115,3593,4522,1669,451,731,317.0,10,80.0,186.75,0,0,10,0,6,10,0,488,5,5746000.0,468,3
Peringamala,695562,2353,1083,1270,636,69,564,254.0,0,45.0,209.0,10,1,0,10,47,0,0,138,75,10000000.0,318,3
Palode,695562,16099,7556,8543,4424,707,3717,996.46,3,267.75,728.71,100,1,3,300,150,36,0,2014,750,62200000.0,2212,1
Kurupuzha,695562,6797,3162,3635,1885,365,1520,1012.43,0,270.43,740.0,35,1,5,115,95,19,0,1106,400,60000000.0,942,3
Alathur,680741,12744,6098,6646,3252,2950,286,1009.0,8,510.0,499.0,5,1,13,17,70,0,27,5045,35,28850.0,3125,3
Kallur Thekkummuri (CT),680741,17545,8433,9112,4482,2751,1203,1029.0,7,500.0,529.0,3,2,12,22,75,0,22,5125,30,28850.0,3932,1
Muttom,685587,10909,5445,5464,2659,1045,1312,2047.0,2,284.0,1763.0,51,11,38,32,58,19,39,1778,227,13961920.0,1159,3
Thodupuzha (Part),685586,412,205,207,88,29,47,72.0,0,11.5,60.5,2,0,12,8,0,0,0,201,32,25000.0,80,3
Karimkunnam (Part),685586,12042,6067,5975,3079,1098,1672,1840.0,1,312.0,1528.0,28,7,1,38,8,23,35,2412,368,18945032.0,2258,3
Pothanikkad,686671,10221,5092,5129,2517,1100,1082,1581.0,34,348.0,1219.0,0,3,0,52,22,16,90,1580,60,7444000.0,1597,3
Kanichar,670673,15789,7778,8011,3830,2615,1024,3302.0,46,246.0,3001.0,8,4,0,13,0,6,13,2615,1210,23779480.0,650,0
Periya,671316,14077,6718,7359,3100,1059,1398,2784.0,25,397.0,2165.0,20,0,69,42,24,17,0,1212,186,37124064.0,648,0
Elappara,685531,2445,1208,1237,612,560,52,1400.0,2,133.0,1149.0,3,0,11,88,31,150,4,175,65,5402124.0,391,3
Peerumade,685531,17512,8710,8802,4477,3412,1065,8166.0,6,1270.0,6644.0,4,0,41,368,89,400,16,1672,550,16206372.0,2546,0
Manjumala,685531,1755,860,895,450,402,48,1200.0,2,169.0,990.0,2,0,19,40,30,50,4,136,40,5402124.0,288,3
Pullur,671531,15565,7436,8129,3667,1525,1774,2295.0,33,721.0,1375.0,28,0,86,48,32,7,0,1487,229,39028020.0,709,0
Killannur (CT),680581,20256,9865,10391,5060,2722,1500,870.85,150,418.0,452.85,105,8,99,22,87,0,14,824,41,13889448.0,31,3
Edathiruthy (CT),680703,12921,5782,7139,3153,1439,1714,719.0,10,569.0,150.0,3,23,65,40,71,0,18,990,12,8681000.0,1937,3
Chendrappini (CT),680687,16404,7422,8982,4078,1182,2883,565.0,6,415.0,150.0,1,32,78,39,67,0,16,660,8,8681000.0,1937,3
Kayyur,671313,6450,3084,3366,1788,538,1073,1524.0,2,443.0,1067.0,4,0,2,20,11,0,40,752,55,11025000.0,203,3
Kilayikode,671313,3251,1504,1747,839,255,510,529.0,0,301.0,207.0,0,0,1,15,9,0,24,410,30,9750000.0,240,3
Thimiri,671313,5511,2640,2871,1344,415,810,602.0,1,175.0,404.0,0,0,1,15,14,0,24,872,90,11500000.0,215,3
Alacode,685590,1273,636,637,297,197,29,389.6,7,8.9,380.7,2,0,0,8,0,2,11,948,261,816526.0,137,3
Velliyamattom,685590,1922,938,984,460,82,317,477.9,12,27.25,450.15,4,0,0,42,5,6,26,1448,312,2830012.0,272,3
Kudayathoor,685590,8010,3994,4016,1958,293,1351,1951.5,18,192.6,1758.9,13,3,2,66,13,12,44,2822,658,9227864.0,862,3
Kannapuram (CT),670301,18459,8220,10239,4531,393,4138,1157.0,37,73.0,875.0,0,1,0,13,0,0,191,4138,220,12866000.0,3581,1
Kaduppassery,680683,8833,4238,4595,2291,50,1481,677.0,10,307.0,270.0,13,3,21,21,24,0,0,1462,0,38257900.0,806,3
Kottanellur,680662,11133,5182,5951,2916,35,1734,1005.0,24,455.0,201.0,6,4,18,33,33,0,0,1780,0,28076260.0,1011,3
Vellookkara (CT),680662,8146,3697,4449,2122,49,1292,502.0,16,228.0,201.0,9,6,24,32,33,0,0,1108,0,30313750.0,1027,3
Keezhallur (CT),670595,20440,9756,10684,4434,621,3369,1960.0,15,81.23,1716.99,0,2,4,8,18,4,4,3278,34,20422560.0,804,1
Kollamula,628312,1149,570,579,303,47,59,234.0,0,4.0,128.0,11,0,8,14,5,0,17,194,127,69960.0,180,3
Athikkayam,628314,8602,4191,4411,2252,202,452,2256.0,0,31.0,910.0,59,3,27,47,24,3,102,1234,714,15432.0,1098,3
Ayyappancoil,685507,13454,6635,6818,3513,1410,2025,2595.96,30,297.05,1523.07,21,6,19,0,0,0,0,3540,150,53827000.0,1635,3
Anavilasam,605538,2157,1092,1065,533,412,118,1669.15,220,489.5,1118.87,9,1,2,0,0,0,0,450,65,23068000.0,196,3
Velliyamattom,685588,16718,8402,8316,4230,1541,2162,2065.27,6,318.76,1624.87,2,8,15,52,91,18,121,1652,118,29389068.0,1016,3
Mallappally,689585,17693,8392,9301,5017,1220,3360,1795.94,7,69.43,1621.85,0,3,6,11,0,20,268,2100,165,7578000.0,3010,1
Cheruvanchery,670650,10341,4900,5441,2179,558,1472,1339.0,8,142.0,1084.0,0,2,0,23,0,24,47,1892,389,532387.0,120,3
Pattiom (CT),670691,20161,9205,10956,4661,316,3842,1198.0,6,129.0,1040.0,0,3,0,11,0,21,109,3426,376,1084788.0,694,1
Nannamukku,679575,28989,13040,15949,6221,231,5978,1594.65,96,1124.75,288.15,12,15,250,89,71,28,20,3688,0,23200000.0,350,1
Kuruva,676507,45354,21674,23680,8513,590,7250,2792.0,60,568.0,2224.0,0,16,8,27,92,0,70,1600,200,14500000.0,4820,1
Thennala (CT),676508,31803,16423,15380,7007,477,5129,813.54,10,152.5,579.5,0,13,1,14,16,1,34,5150,40,8198000.0,3710,1
Kelakam,670674,16211,7979,8232,4026,2950,1055,3621.0,41,152.0,3307.0,19,6,0,533,410,8,34,2950,960,62956664.0,335,0
Koottilangadi (CT),676506,36602,17734,18868,7005,1260,4062,1569.0,20,1045.0,524.0,8,7,17,31,54,14,100,1678,86,17830000.0,2000,1
Kodikulam,685582,12741,6311,6430,3192,1895,977,2525.2,5,389.0,2136.2,0,3,8,47,70,1,48,6718,448,13192425.0,1639,0
Eranholi (CT),670107,25818,11741,14077,6042,121,5870,653.0,13,22.0,618.0,0,2,4,0,16,0,62,2827,62,11515000.0,1402,1
Vazhayur (CT),673637,6252,3068,3184,1273,142,921,226.4,1,21.71,192.86,2,0,0,1,0,1,23,682,1,4122500.0,285,3
Edathua,689573,19094,9139,9955,4836,1707,628,1893.05,0,1333.03,548.44,15,0,266,63,266,0,4,3093,185,72152000.0,320,0
Payyavoor,670633,22998,11373,11625,5698,3400,227,5772.0,97,223.0,5511.0,0,1,0,1,280,9,30,3400,35,57588000.0,61,0
Pidavoor,691625,9843,4687,5156,2676,913,1763,1269.9,2,37.61,1208.17,2,10,70,37,70,0,43,1537,28,150293536.0,757,3
Annakara,680508,9511,4536,4975,2289,864,324,945.38,0,603.6,325.01,5,12,20,14,20,0,0,1476,0,7926196.0,14,3
Mullassery (CT),680509,12165,5551,6614,2973,329,567,630.26,0,402.4,216.68,7,7,27,19,21,0,0,1454,0,8226195.0,0,3
Thalavoor,691508,24385,11459,12926,6489,2237,4252,1683.4,6,92.1,1524.49,4,24,173,92,173,18,508,3763,67,367960064.0,1853,1
Alayamon,691306,13434,6277,7157,3577,1072,2505,1340.8,5,56.87,1237.0,5,0,18,8,3,28,135,1564,12,38377600.0,176,3
Channappetta,691311,6674,3116,3558,1790,623,1167,1952.5,3,33.3,1880.15,4,0,10,5,1,2,17,892,5,18902400.0,121,3
Kaipuzha,686602,6328,3120,3208,1650,370,1280,667.19,2,610.78,14.72,5,0,0,14,57,0,6,1158,210,4625000.0,450,3
Onamthuruth,686602,13375,6525,6850,3372,315,3057,1095.15,0,486.88,485.16,9,3,1,29,83,0,9,1200,230,8979000.0,820,3
Anchal,691306,33088,15732,17356,8793,852,7941,2162.8,14,54.03,2023.33,28,2,254,14,232,8,38,4765,125,62000000.0,750,1
Karimpuzha-I,679513,19287,9189,10098,4208,1400,2808,1992.0,12,735.0,1250.0,0,23,93,52,102,32,49,1400,0,31748900.0,3794,1
Karimpuzha-II,679513,12830,6137,6693,2730,1550,1180,2080.0,15,775.0,1300.0,0,31,69,55,83,20,31,1350,0,25750500.0,1842,3
Pulikkal,673637,40133,19695,20438,7611,719,5513,2208.93,10,124.54,2084.39,18,23,111,31,9,9,92,3330,31,37595920.0,6579,1
Palakkayam,678591,7512,3729,3783,1764,292,408,895.0,94,141.0,685.0,0,2,4,14,0,2,0,2090,81,5547425.0,0,3
Thachampara,678593,15114,7203,7911,3327,208,1070,2419.0,43,241.0,1989.0,0,6,4,40,0,7,0,3693,219,14998591.0,1245,3
Muzhakkunnu,670676,21807,10532,11275,4881,1995,2756,2764.05,2,185.7,2566.32,13,45,9,87,0,13,132,3755,45,32113500.0,329,0
Thennoor,695563,30810,13554,17256,12176,4000,4213,218.32,10,48.0,170.32,135,1,170,70,990,0,230,4000,250,64308300.0,260,2
Neyyasseri,685582,211,113,98,60,34,20,22.4,1,4.0,18.1,0,0,0,2,4,0,0,38,8,10500.0,39,3
Puzhakkal (CT),680553,8609,4078,4531,2109,596,1359,370.17,4,302.22,57.94,0,2,18,5,1,0,4,889,0,3945000.0,18,3
Puranattukara (CT),680551,10655,5092,5563,2582,730,1663,485.7,5,409.0,76.7,1,3,19,5,2,0,10,833,0,4882000.0,25,3
Chittilappilly (CT),680551,6988,3340,3648,1714,485,1104,370.6,6,201.93,127.28,0,2,22,6,3,0,5,885,0,3202000.0,24,3
Adat (CT),680551,5721,2862,2859,1376,389,887,526.23,5,443.38,82.37,0,2,21,4,2,0,7,995,60,3621000.0,25,3
Alacode,685588,4722,2301,2421,1132,421,581,832.91,4,126.34,628.76,1,3,5,18,46,4,54,1346,82,10705158.0,871,3
Vadanappally (CT),680614,30657,13966,16691,7302,657,5768,1116.76,9,613.56,489.08,312,61,232,45,5,0,43,6065,1642,16204295.0,2093,1
Cherukunnu (CT),670301,16111,7153,8958,3418,168,3250,888.0,3,40.0,643.0,0,0,5,12,4,0,0,4500,150,14556879.0,1683,3
Ancharakandy (CT),670611,23030,10646,12384,5245,152,4093,1178.0,0,72.0,982.0,0,4,1,15,0,0,48,5246,0,12737000.0,2862,1
Ramapuram,686576,10032,5029,5003,2431,1689,112,2183.0,7,364.0,1779.0,3,0,0,70,20,7,22,3021,44,8864486.0,2193,3
Anthicad (CT),680641,9826,4637,5189,2411,1210,787,619.5,5,312.87,306.63,105,10,39,21,75,8,32,2234,512,6297498.0,784,3
Padiyam (CT),680641,11623,5339,6284,2867,1016,1525,449.23,3,299.13,150.1,119,0,1,42,86,14,23,932,634,8459265.0,1012,3
Aralam,670704,29328,14438,14890,6904,2600,4204,9325.0,70,133.0,9080.0,4,7,0,116,0,34,32,10037,2300,38927000.0,4547,0
Kayaralam,670602,17159,8042,9117,3800,2850,950,1600.0,5,250.0,1130.0,0,1,0,0,0,0,15,2920,6,78267860.0,1998,3
Pottassery- I,678598,27627,13350,14277,6454,1138,5316,2250.52,58,230.67,2019.85,13,28,11,130,15,69,21,1639,204,13387200.0,1816,1
Pottassery- II,678598,10391,5001,5390,2130,584,1429,1211.82,41,124.21,1087.61,6,11,2,56,12,18,12,693,54,8924800.0,1043,3
Koovappady (CT),683544,7342,3684,3658,1765,368,621,545.8,3,106.6,149.2,0,8,4,12,3,3,18,2417,182,13250710.0,1323,3
Chelamattom (CT),683550,16844,8346,8498,4151,835,1508,1045.0,2,293.5,412.1,0,8,7,15,3,7,32,3624,218,15785000.0,1809,3
Thrikkariyoor (Part),686692,7352,3526,3826,1854,742,659,288.0,2,5.0,269.0,0,2,0,70,3,6,15,1184,6,4385576.0,522,3
Eramalloor (CT),686691,33829,16999,16830,7971,2790,3120,1792.0,7,46.0,1694.0,0,10,0,388,16,26,30,5617,29,19978732.0,3444,1
Mayyil (CT),670601,12490,5768,6722,2587,1804,783,1021.0,5,109.0,696.0,0,1,0,0,0,0,15,1804,20,78267880.0,1293,3
Pattimattom,683562,1675,841,834,434,94,255,23.0,1,2.0,21.0,0,0,5,0,11,1,2,94,52,732700.0,101,3
